*** Plotting network topology to gConfigThreeRoadms.png
*** r1.install_switch_rule: [3, [6]]: 3
*** r1.install_switch_rule: [3, [6]]: 3
*** r1.check_switch_rule: removing switch rule (3, 6): 3
*** r1.remove_switch_rule: [3, 6]: 3
*** r1.install_switch_rule: [4, [12]]: 4
*** r1.install_switch_rule: [4, [12]]: 4
*** r1.check_switch_rule: removing switch rule (4, 12): 4
*** r1.remove_switch_rule: [4, 12]: 4
*** r1.install_switch_rule: [5, [18]]: 5
*** r1.install_switch_rule: [5, [18]]: 5
*** r1.check_switch_rule: removing switch rule (5, 18): 5
*** r1.remove_switch_rule: [5, 18]: 5
*** r3.install_switch_rule: [410, [50]]: 410
*** r3.install_switch_rule: [410, [50]]: 410
*** r3.check_switch_rule: removing switch rule (410, 50): 410
*** r3.remove_switch_rule: [410, 50]: 410
*** Plotting network topology to gConfigThreeRoadms.png
*** r1.install_switch_rule: [3, [6]]: 3
*** r1.install_switch_rule: [3, [6]]: 3
*** r1.check_switch_rule: removing switch rule (3, 6): 3
*** r1.remove_switch_rule: [3, 6]: 3
*** r1.install_switch_rule: [4, [12]]: 4
*** r1.install_switch_rule: [4, [12]]: 4
*** r1.check_switch_rule: removing switch rule (4, 12): 4
*** r1.remove_switch_rule: [4, 12]: 4
*** r1.install_switch_rule: [5, [18]]: 5
*** r1.install_switch_rule: [5, [18]]: 5
*** r1.check_switch_rule: removing switch rule (5, 18): 5
*** r1.remove_switch_rule: [5, 18]: 5
*** r1.install_switch_rule: [6, [24]]: 6
*** r1.install_switch_rule: [6, [24]]: 6
*** r1.check_switch_rule: removing switch rule (6, 24): 6
*** r1.remove_switch_rule: [6, 24]: 6
*** r1.install_switch_rule: [7, [30]]: 7
*** r1.install_switch_rule: [7, [30]]: 7
*** r1.check_switch_rule: removing switch rule (7, 30): 7
*** r1.remove_switch_rule: [7, 30]: 7
*** r1.install_switch_rule: [8, [36]]: 8
*** r1.install_switch_rule: [8, [36]]: 8
*** r1.check_switch_rule: removing switch rule (8, 36): 8
*** r1.remove_switch_rule: [8, 36]: 8
*** r1.install_switch_rule: [9, [42]]: 9
*** r1.install_switch_rule: [9, [42]]: 9
*** r1.check_switch_rule: removing switch rule (9, 42): 9
*** r1.remove_switch_rule: [9, 42]: 9
*** r1.install_switch_rule: [10, [48]]: 10
*** r1.install_switch_rule: [10, [48]]: 10
*** r1.check_switch_rule: removing switch rule (10, 48): 10
*** r1.remove_switch_rule: [10, 48]: 10
*** r1.install_switch_rule: [11, [54]]: 11
*** r1.install_switch_rule: [11, [54]]: 11
*** r1.check_switch_rule: removing switch rule (11, 54): 11
*** r1.remove_switch_rule: [11, 54]: 11
*** r1.install_switch_rule: [12, [60]]: 12
*** r1.install_switch_rule: [12, [60]]: 12
*** r1.check_switch_rule: removing switch rule (12, 60): 12
*** r1.remove_switch_rule: [12, 60]: 12
*** r1.install_switch_rule: [13, [66]]: 13
mininet-optical> *** r1.install_switch_rule: [13, [66]]: 13
*** r1.check_switch_rule: removing switch rule (13, 66): 13
*** r1.remove_switch_rule: [13, 66]: 13
*** r1.install_switch_rule: [14, [72]]: 14
*** r1.install_switch_rule: [14, [72]]: 14
*** r1.check_switch_rule: removing switch rule (14, 72): 14
*** r1.remove_switch_rule: [14, 72]: 14
*** r1.install_switch_rule: [15, [78]]: 15
*** r1.install_switch_rule: [15, [78]]: 15
*** r1.check_switch_rule: removing switch rule (15, 78): 15
*** r1.remove_switch_rule: [15, 78]: 15
*** r1.install_switch_rule: [16, [84]]: 16
*** r1.install_switch_rule: [16, [84]]: 16
*** r1.check_switch_rule: removing switch rule (16, 84): 16
*** r1.remove_switch_rule: [16, 84]: 16
*** r2.install_switch_rule: [17, [90]]: 17
*** r2.install_switch_rule: [17, [90]]: 17
*** r2.check_switch_rule: removing switch rule (17, 90): 17
*** r2.remove_switch_rule: [17, 90]: 17
*** r2.install_switch_rule: [19, [102]]: 19
*** r2.install_switch_rule: [19, [102]]: 19
*** r2.check_switch_rule: removing switch rule (19, 102): 19
*** r2.remove_switch_rule: [19, 102]: 19
*** r2.install_switch_rule: [21, [114]]: 21
*** r2.install_switch_rule: [21, [114]]: 21
*** r2.check_switch_rule: removing switch rule (21, 114): 21
*** r2.remove_switch_rule: [21, 114]: 21
*** r2.install_switch_rule: [23, [126]]: 23
*** r2.install_switch_rule: [23, [126]]: 23
*** r2.check_switch_rule: removing switch rule (23, 126): 23
*** r2.remove_switch_rule: [23, 126]: 23
*** r2.install_switch_rule: [25, [138]]: 25
*** r2.install_switch_rule: [25, [138]]: 25
*** r2.check_switch_rule: removing switch rule (25, 138): 25
*** r2.remove_switch_rule: [25, 138]: 25
*** r3.install_switch_rule: [27, [150]]: 27
*** r3.install_switch_rule: [27, [150]]: 27
*** r3.check_switch_rule: removing switch rule (27, 150): 27
*** r3.remove_switch_rule: [27, 150]: 27
*** r3.install_switch_rule: [28, [156]]: 28
*** r3.install_switch_rule: [28, [156]]: 28
*** r3.check_switch_rule: removing switch rule (28, 156): 28
*** r3.remove_switch_rule: [28, 156]: 28
*** r3.install_switch_rule: [29, [162]]: 29
*** r3.install_switch_rule: [29, [162]]: 29
*** r3.check_switch_rule: removing switch rule (29, 162): 29
*** r3.remove_switch_rule: [29, 162]: 29
*** r3.install_switch_rule: [30, [168]]: 30
*** r3.install_switch_rule: [30, [168]]: 30
*** r3.check_switch_rule: removing switch rule (30, 168): 30
*** r3.remove_switch_rule: [30, 168]: 30
*** r3.install_switch_rule: [31, [174]]: 31
*** r3.install_switch_rule: [31, [174]]: 31
*** r3.check_switch_rule: removing switch rule (31, 174): 31
*** r3.remove_switch_rule: [31, 174]: 31
*** r3.install_switch_rule: [32, [180]]: 32
*** r3.install_switch_rule: [32, [180]]: 32
*** r3.check_switch_rule: removing switch rule (32, 180): 32
*** r3.remove_switch_rule: [32, 180]: 32
*** r3.install_switch_rule: [33, [186]]: 33
*** r3.install_switch_rule: [33, [186]]: 33
*** r3.check_switch_rule: removing switch rule (33, 186): 33
*** r3.remove_switch_rule: [33, 186]: 33
*** r3.install_switch_rule: [34, [192]]: 34
*** r3.install_switch_rule: [34, [192]]: 34
*** r3.check_switch_rule: removing switch rule (34, 192): 34
*** r3.remove_switch_rule: [34, 192]: 34
*** r3.install_switch_rule: [35, [198]]: 35
*** r3.install_switch_rule: [35, [198]]: 35
*** r3.check_switch_rule: removing switch rule (35, 198): 35
*** r3.remove_switch_rule: [35, 198]: 35
*** r3.install_switch_rule: [36, [204]]: 36
*** r3.install_switch_rule: [36, [204]]: 36
*** r3.check_switch_rule: removing switch rule (36, 204): 36
*** r3.remove_switch_rule: [36, 204]: 36
*** r3.install_switch_rule: [37, [210]]: 37
*** r3.install_switch_rule: [37, [210]]: 37
*** r3.check_switch_rule: removing switch rule (37, 210): 37
*** r3.remove_switch_rule: [37, 210]: 37
*** r3.install_switch_rule: [38, [216]]: 38
*** r3.install_switch_rule: [38, [216]]: 38
*** r3.check_switch_rule: removing switch rule (38, 216): 38
*** r3.remove_switch_rule: [38, 216]: 38
*** r3.install_switch_rule: [39, [222]]: 39
*** r3.install_switch_rule: [39, [222]]: 39
*** r3.check_switch_rule: removing switch rule (39, 222): 39
*** r3.remove_switch_rule: [39, 222]: 39
*** r3.install_switch_rule: [40, [228]]: 40
*** r3.install_switch_rule: [40, [228]]: 40
*** r3.check_switch_rule: removing switch rule (40, 228): 40
*** r3.remove_switch_rule: [40, 228]: 40
*** r3.install_switch_rule: [41, [234]]: 41
*** r3.install_switch_rule: [41, [234]]: 41
*** r3.check_switch_rule: removing switch rule (41, 234): 41
*** r3.remove_switch_rule: [41, 234]: 41
*** r1.install_switch_rule: [300, [40]]: 300
*** r1.install_switch_rule: [300, [40]]: 300
*** r1.check_switch_rule: removing switch rule (300, 40): 300
*** r1.remove_switch_rule: [300, 40]: 300
*** r2.install_switch_rule: [310, [40]]: 310
*** r2.install_switch_rule: [310, [40]]: 310
*** r2.check_switch_rule: removing switch rule (310, 40): 310
*** r2.remove_switch_rule: [310, 40]: 310
*** r2.install_switch_rule: [400, [50]]: 400
*** r2.install_switch_rule: [400, [50]]: 400
*** r2.check_switch_rule: removing switch rule (400, 50): 400
*** r2.remove_switch_rule: [400, 50]: 400
*** r3.install_switch_rule: [410, [50]]: 410
*** r3.install_switch_rule: [410, [50]]: 410
*** r3.check_switch_rule: removing switch rule (410, 50): 410
*** r3.remove_switch_rule: [410, 50]: 410
